newest_detection,Month,Quarter,DOY,confidence,num_fires,centroid.latitude,centroid.longitude
2020-06-30T21:28:56+00:00,June,Q2,182,0.75,8,-12.40174033,38.50860233
2020-07-12T20:58:27+00:00,July,Q3,194,1,318,-12.123471,38.61106528
2020-07-01T13:06:27+00:00,July,Q3,183,0.75,12,-12.68722758,37.43395525
2020-07-01T13:06:27+00:00,July,Q3,182,0.5,19,-11.70007926,37.87634326
2020-07-01T13:06:27+00:00,July,Q3,183,0.75,128,-11.88156132,37.54706024
2020-07-04T00:23:34+00:00,July,Q3,186,1,286,-11.41121135,37.94163612
2020-07-03T09:34:42+00:00,July,Q3,185,1,114,-11.49288344,38.02547954
2020-07-02T09:56:22+00:00,July,Q3,184,1,61,-11.86597828,38.50578048
2020-07-03T09:23:39+00:00,July,Q3,185,0.75,25,-12.31804165,38.10650415
2020-07-02T21:30:24+00:00,July,Q3,184,1,26,-11.448616,38.651507
2020-07-02T09:56:22+00:00,July,Q3,184,0.75,23,-11.49205735,38.78555791
2020-07-02T09:55:51+00:00,July,Q3,184,0.5,5,-11.792406,38.6113692
2020-07-02T09:55:51+00:00,July,Q3,184,0.75,4,-12.5474485,37.23176375
2020-07-02T21:30:24+00:00,July,Q3,184,0.75,46,-11.34475611,38.69623328
2020-07-02T12:45:32+00:00,July,Q3,184,0.5,42,-11.949096,37.86888667
2020-07-02T21:30:24+00:00,July,Q3,184,0.5,6,-12.466874,37.7138075
2020-07-03T00:46:11+00:00,July,Q3,185,0.5,40,-11.89815667,37.89646556
2020-07-03T09:23:39+00:00,July,Q3,185,1,12,-12.08915167,38.67297333
2020-07-03T10:04:58+00:00,July,Q3,185,0.5,9,-12.39142778,37.80994022
2020-07-03T12:30:12+00:00,July,Q3,185,0.5,15,-12.6239122,37.48095313
2020-07-03T21:09:41+00:00,July,Q3,185,0.5,12,-12.405883,38.30787973
2020-07-03T21:09:41+00:00,July,Q3,185,0.5,9,-11.82119489,38.56676811
2020-07-03T21:39:17+00:00,July,Q3,185,1,121,-11.44288071,38.42276107
2020-07-04T12:09:37+00:00,July,Q3,186,0.5,14,-11.65000836,38.12765036
2020-07-05T11:50:03+00:00,July,Q3,187,0.5,26,-11.98654465,37.79613877
2020-07-10T15:22:34+00:00,July,Q3,192,1,150,-11.87541551,37.97118711
2020-07-07T01:10:14+00:00,July,Q3,189,0.75,49,-11.35459828,38.83372712
2020-07-06T09:54:36+00:00,July,Q3,188,1,35,-11.39095226,38.08795194
2020-07-06T21:25:21+00:00,July,Q3,188,0.75,28,-11.76169696,38.11314837
2020-07-10T15:22:19+00:00,July,Q3,192,1,63,-11.4198072,38.02834378
2020-07-06T09:42:42+00:00,July,Q3,188,0.75,5,-12.06142133,37.75448433
2020-07-06T09:42:42+00:00,July,Q3,188,0.75,11,-12.37286018,37.69828736
2020-07-10T15:22:34+00:00,July,Q3,192,1,75,-12.7221455,37.24663835
2020-07-06T09:54:36+00:00,July,Q3,188,0.5,11,-11.61536655,37.90743845
2020-07-06T21:25:21+00:00,July,Q3,188,0.5,7,-12.33743071,37.85155129
2020-07-07T01:10:14+00:00,July,Q3,189,0.5,6,-12.32407717,37.83465017
2020-07-07T01:10:14+00:00,July,Q3,189,1,40,-12.02312616,38.56907626
2020-07-10T15:22:34+00:00,July,Q3,192,1,50,-11.93107616,37.72001284
2020-07-10T15:22:34+00:00,July,Q3,192,1,24,-11.78814504,38.66606308
2020-07-12T20:58:27+00:00,July,Q3,194,1,130,-11.67794295,38.21150237
2020-07-07T01:10:14+00:00,July,Q3,189,0.5,18,-12.20707528,37.86503617
2020-07-10T15:18:48+00:00,July,Q3,192,0.75,29,-12.00150221,38.61462328
2020-07-10T15:18:50+00:00,July,Q3,192,0.75,10,-12.3022143,38.5179101
2020-07-10T15:18:48+00:00,July,Q3,192,1,23,-11.67720757,37.30213835
2020-07-10T15:18:50+00:00,July,Q3,192,0.75,28,-11.35104907,38.10924657
2020-07-07T12:55:09+00:00,July,Q3,189,0.75,40,-12.58323513,37.13074058
2020-07-07T12:55:09+00:00,July,Q3,189,0.75,18,-11.66087289,37.043107
2020-07-10T15:26:49+00:00,July,Q3,192,0.75,11,-11.61812091,36.07887673
2020-07-07T12:55:09+00:00,July,Q3,189,0.5,27,-11.83410981,38.76104974
2020-07-10T15:32:41+00:00,July,Q3,192,1,111,-11.76412946,38.68701464
2020-07-10T15:22:19+00:00,July,Q3,192,0.5,3,-12.149744,37.859842
2020-07-10T15:22:19+00:00,July,Q3,192,0.75,23,-11.65006107,37.54804827
2020-07-10T15:22:34+00:00,July,Q3,192,0.5,5,-12.2280712,38.2216636
2020-07-08T00:48:03+00:00,July,Q3,190,0.5,8,-11.414414,37.89381738
2020-07-10T21:17:02+00:00,July,Q3,192,1,40,-11.92466435,37.8433722
2020-07-10T11:49:03+00:00,July,Q3,192,0.5,11,-12.1450975,37.7453375
2020-07-10T11:49:14+00:00,July,Q3,192,0.5,10,-12.6028738,37.2402782
2020-07-16T01:37:29+00:00,July,Q3,198,1,241,-11.82341172,38.20872274
2020-07-12T21:04:02+00:00,July,Q3,194,1,44,-11.89010373,38.58982887
2020-07-11T20:44:50+00:00,July,Q3,193,0.5,4,-12.33585625,37.8726325
2020-07-13T12:41:25+00:00,July,Q3,195,1,97,-11.91866751,38.71964235
2020-07-11T11:35:42+00:00,July,Q3,193,0.5,30,-11.89701347,38.0976697
2020-07-11T20:44:50+00:00,July,Q3,193,0.5,6,-12.27171733,37.97316317
2020-07-11T20:44:50+00:00,July,Q3,193,0.75,32,-12.087815,38.62155191
2020-07-11T21:03:49+00:00,July,Q3,193,0.5,9,-11.52678644,38.65725833
2020-07-11T21:37:51+00:00,July,Q3,193,0.5,6,-11.36017217,37.82868167
2020-07-12T12:59:35+00:00,July,Q3,193,1,60,-11.74177817,37.36876453
2020-07-12T09:25:09+00:00,July,Q3,194,1,35,-11.65338933,37.470914
2020-07-12T09:25:09+00:00,July,Q3,194,0.5,6,-12.20948583,37.69325017
2020-07-12T12:59:35+00:00,July,Q3,194,0.5,24,-12.58108725,37.15866054
2020-07-12T12:59:35+00:00,July,Q3,194,1,19,-12.76368806,37.34793394
2020-07-12T12:59:35+00:00,July,Q3,194,0.5,14,-12.40788043,37.77188186
2020-07-14T21:25:49+00:00,July,Q3,196,0.75,12,-12.17552633,38.47618678
2020-07-13T00:55:12+00:00,July,Q3,195,0.75,16,-11.5190675,38.3971915
2020-07-12T20:58:27+00:00,July,Q3,194,0.5,12,-11.376146,38.72180217
2020-07-12T20:58:27+00:00,July,Q3,194,0.5,11,-11.33872682,38.66804491
2020-07-13T10:02:50+00:00,July,Q3,195,0.75,6,-12.04605967,37.7782695
2020-07-14T00:31:23+00:00,July,Q3,196,0.5,31,-11.92342874,37.77607416
2020-07-13T12:41:25+00:00,July,Q3,195,0.5,15,-11.91377493,38.61595713
2020-07-14T12:23:54+00:00,July,Q3,196,0.75,12,-12.06500308,38.02793458
2020-07-14T21:25:49+00:00,July,Q3,196,1,27,-12.2463981,38.57788619
2020-08-21T00:50:23+00:00,August,Q3,,1,2425,-11.9717436,37.63850423
2020-07-14T21:25:49+00:00,July,Q3,196,0.5,12,-11.69600056,36.70488789
2020-07-14T21:21:06+00:00,July,Q3,196,0.75,7,-12.65401933,37.48747533
2020-07-15T12:01:54+00:00,July,Q3,197,0.5,12,-11.92519742,38.0412195
2020-07-16T01:37:29+00:00,July,Q3,198,0.75,51,-11.83896718,38.00490014
2020-07-15T21:31:41+00:00,July,Q3,197,0.5,13,-12.651321,37.32276354
2020-07-15T12:01:54+00:00,July,Q3,197,0.5,4,-12.9049615,36.74799875
2020-07-18T09:39:20+00:00,July,Q3,200,1,99,-12.17821959,38.54112633
2020-07-15T21:32:12+00:00,July,Q3,197,0.5,8,-12.85209263,36.99165113
2020-07-19T12:35:53+00:00,July,Q3,201,1,26,-12.61344256,37.54792967
2020-07-17T15:31:23+00:00,July,Q3,199,0.75,46,-12.19471392,37.69048854
2020-07-15T21:32:12+00:00,July,Q3,197,0.75,16,-12.12735175,37.92241
2020-07-15T21:32:12+00:00,July,Q3,197,0.5,20,-12.22543925,37.8674946
2020-07-15T21:32:12+00:00,July,Q3,197,0.75,34,-12.42074444,37.80637732
2020-07-16T01:37:29+00:00,July,Q3,198,0.75,16,-11.9032215,37.7898375
2020-07-16T01:37:29+00:00,July,Q3,198,0.75,19,-11.89036121,37.86453463
2020-07-15T21:32:12+00:00,July,Q3,197,0.75,10,-11.6556388,37.0536638
2020-07-19T21:31:28+00:00,July,Q3,201,1,324,-11.94269784,38.58352508
2020-07-16T09:27:47+00:00,July,Q3,198,0.5,16,-11.70320144,37.40446288
2020-07-16T21:09:20+00:00,July,Q3,198,0.5,4,-11.327024,38.130878
2020-07-17T01:20:27+00:00,July,Q3,199,0.5,20,-11.72088485,37.02824985
2020-07-17T17:06:19+00:00,July,Q3,199,0.75,20,-11.587502,37.683548
2020-07-20T00:22:24+00:00,July,Q3,202,0.5,24,-11.916731,37.92161509
2020-07-18T09:39:20+00:00,July,Q3,200,1,14,-12.01761567,37.77824433
2020-07-17T17:06:19+00:00,July,Q3,199,0.5,3,-12.06077367,37.90263633
2020-07-18T12:45:55+00:00,July,Q3,200,0.75,34,-12.16890759,37.80735373
2020-07-18T12:45:55+00:00,July,Q3,200,0.5,47,-12.46616612,37.22461442
2020-07-18T00:59:53+00:00,July,Q3,200,0.5,9,-12.75306556,37.21552589
2020-07-19T12:35:53+00:00,July,Q3,201,1,171,-12.66529432,37.38613649
2020-07-19T00:42:47+00:00,July,Q3,201,0.75,25,-11.35934708,38.64137728
2020-07-19T12:35:53+00:00,July,Q3,201,1,69,-12.04646298,38.63066152
